iSess	iCond	iTrial	iCh	iFr	AF	xF1	xF2	Harm	FK_Cond	iBin	SweepVal	Sr	Si	N1r	N1i	N2r	N2i	Signal	Phase	Noise	StdErr	PVal	SNR	LSB	RSB	UserSc	Thresh	ThrBin	Slope	ThrInRange	MaxSNR
20151102_174924	1	0	hc001-Avg	1	1.200000	1	0	1F1	1	0		-0.371731	-0.285341	0.731291	-0.039629	0.731291	-0.039629	0.468618	-142.490123	0.732364	1.265316	0.934080	0.338315								
20151102_174924	1	0	hc001-Avg	2	2.400000	2	0	2F1	1	0		0.731291	-0.039629	-0.371731	-0.285341	-0.021772	0.621626	0.732364	-3.101867	0.545313	0.412300	0.246444	0.426376								
20151102_174924	1	0	hc001-Avg	3	3.600000	3	0	3F1	1	0		-0.021772	0.621626	0.731291	-0.039629	-0.344033	0.126075	0.622007	92.005957	0.549385	0.548137	0.542487	0.610251								
20151102_174924	1	0	hc001-Avg	4	4.800000	4	0	4F1	1	0		-0.344033	0.126075	-0.021772	0.621626	0.329382	-0.587076	0.366406	159.873970	0.647586	0.415226	0.685760	0.385400								
20151102_174924	1	0	hc001-Avg	5	6.000000	5	0	5F1	1	0		0.329382	-0.587076	-0.344033	0.126075	0.043798	0.094067	0.673165	-60.705164	0.235085	0.221263	0.032374	1.064430								
20151102_174924	1	0	hc001-Avg	6	7.200000	6	0	6F1	1	0		0.043798	0.094067	0.329382	-0.587076	-0.376783	-0.185100	0.103763	65.033386	0.546480	0.382312	0.963947	0.164974								
20151102_174924	1	0	hc001-Avg	7	8.400000	7	0	7F1	1	0		-0.376783	-0.185100	0.043798	0.094067	0.004162	-0.043535	0.419795	-153.836808	0.073749	0.204576	0.164536	0.887511								
20151102_174924	1	0	hc001-Avg	8	9.600000	8	0	8F1	1	0		0.004162	-0.043535	-0.376783	-0.185100	0.136553	0.128686	0.043734	-84.538705	0.303715	0.175293	0.969434	0.103985								
20151102_174924	1	0	hc001-Avg	9	10.800000	9	0	9F1	1	0		0.136553	0.128686	0.004162	-0.043535	0.191141	-0.047812	0.187635	43.301165	0.120382	0.139585	0.431018	0.617732								
20151102_174924	1	0	hc001-Avg	10	36.000000	0	1	1F2	1	0		0.036764	0.039812	0.006412	0.071772	-0.035293	-0.037905	0.054190	47.279640	0.061925	0.060599	0.679036	0.472379								
20151102_174924	1	0	hc001-Avg	11	37.200000	1	1	1F1+1F2	1	0		-0.035293	-0.037905	0.036764	0.039812	-0.038476	-0.007998	0.051792	-132.956078	0.046744	0.064145	0.728029	0.496372								
20151102_174924	1	0	hc001-Avg	12	34.800000	1	-1	1F1-1F2	1	0		0.006412	0.071772	0.000473	0.015242	0.036764	0.039812	0.072057	84.895151	0.034719	0.062441	0.531825	0.710263								
20151102_174924	1	0	hc002-Avg	1	1.200000	1	0	1F1	1	0		0.397903	0.820786	0.988361	-1.178706	0.988361	-1.178706	0.912150	64.136682	1.538248	0.506177	0.237642	0.556976								
20151102_174924	1	0	hc002-Avg	2	2.400000	2	0	2F1	1	0		0.988361	-1.178706	0.397903	0.820786	0.226227	0.477926	1.538248	-50.019699	0.720457	0.417851	0.010728	1.136226								
20151102_174924	1	0	hc002-Avg	3	3.600000	3	0	3F1	1	0		0.226227	0.477926	0.988361	-1.178706	-0.248009	0.351844	0.528764	64.669345	0.984358	0.370267	0.389944	0.413669								
20151102_174924	1	0	hc002-Avg	4	4.800000	4	0	4F1	1	0		-0.248009	0.351844	0.226227	0.477926	-0.241310	-0.608715	0.430468	125.179439	0.591783	0.401295	0.577296	0.466953								
20151102_174924	1	0	hc002-Avg	5	6.000000	5	0	5F1	1	0		-0.241310	-0.608715	-0.248009	0.351844	-0.149450	0.211129	0.654801	-111.624614	0.344570	0.305787	0.143458	0.849903								
20151102_174924	1	0	hc002-Avg	6	7.200000	6	0	6F1	1	0		-0.149450	0.211129	-0.241310	-0.608715	-0.221545	-0.119284	0.258671	125.293189	0.453209	0.199283	0.454622	0.386731								
20151102_174924	1	0	hc002-Avg	7	8.400000	7	0	7F1	1	0		-0.221545	-0.119284	-0.149450	0.211129	-0.150522	0.107041	0.251617	-151.701286	0.221686	0.308331	0.723202	0.440723								
20151102_174924	1	0	hc002-Avg	8	9.600000	8	0	8F1	1	0		-0.150522	0.107041	-0.221545	-0.119284	0.188268	0.081581	0.184701	144.582200	0.228400	0.212706	0.693754	0.396333								
20151102_174924	1	0	hc002-Avg	9	10.800000	9	0	9F1	1	0		0.188268	0.081581	-0.150522	0.107041	0.115263	-0.014913	0.205184	23.428285	0.150462	0.168329	0.496388	0.512721								
20151102_174924	1	0	hc002-Avg	10	36.000000	0	1	1F2	1	0		0.000447	0.008519	0.004117	0.025088	0.032424	-0.029921	0.008531	86.998526	0.034772	0.024666	0.942226	0.087668								
20151102_174924	1	0	hc002-Avg	11	37.200000	1	1	1F1+1F2	1	0		0.032424	-0.029921	0.000447	0.008519	-0.016033	0.022250	0.044120	-42.700639	0.017978	0.026489	0.287106	0.578411								
20151102_174924	1	0	hc002-Avg	12	34.800000	1	-1	1F1-1F2	1	0		0.004117	0.025088	0.060047	0.005972	0.000447	0.008519	0.025423	80.680296	0.034437	0.051393	0.885924	0.247349								
20151102_174924	1	0	hc003-Avg	1	1.200000	1	0	1F1	1	0		0.132772	0.732488	1.018613	-1.325946	1.018613	-1.325946	0.744424	79.726032	1.672036	0.484212	0.340026	0.424250								
20151102_174924	1	0	hc003-Avg	2	2.400000	2	0	2F1	1	0		1.018613	-1.325946	0.132772	0.732488	0.317845	0.511900	1.672036	-52.467961	0.673487	0.460846	0.011761	1.295006								
