iSess	iCond	iTrial	iCh	iFr	AF	xF1	xF2	Harm	FK_Cond	iBin	SweepVal	Sr	Si	N1r	N1i	N2r	N2i	Signal	Phase	Noise	StdErr	PVal	SNR	LSB	RSB	UserSc	Thresh	ThrBin	Slope	ThrInRange	MaxSNR
20151207_184752	1	0	hc001-Avg	1	1.200000	1	0	1F1	1	0		2.036031	1.420049	0.661231	-1.443169	0.661231	-1.443169	2.482330	34.894203	1.587439	1.227140	0.191591	1.085447								
20151207_184752	1	0	hc001-Avg	2	2.400000	2	0	2F1	1	0		0.661231	-1.443169	2.036031	1.420049	-0.246684	0.449440	1.587439	-65.383704	1.497509	0.744309	0.165183	0.733491								
20151207_184752	1	0	hc001-Avg	3	3.600000	3	0	3F1	1	0		-0.246684	0.449440	0.661231	-1.443169	-0.244051	-0.620074	0.512689	118.761036	1.126906	0.571676	0.681686	0.289124								
20151207_184752	1	0	hc001-Avg	4	4.800000	4	0	4F1	1	0		-0.244051	-0.620074	-0.246684	0.449440	0.181352	0.223148	0.666373	-111.483814	0.400118	0.301564	0.148700	0.864622								
20151207_184752	1	0	hc001-Avg	5	6.000000	5	0	5F1	1	0		0.181352	0.223148	-0.244051	-0.620074	0.104614	0.257414	0.287548	50.899402	0.472116	0.246599	0.533723	0.296479								
20151207_184752	1	0	hc001-Avg	6	7.200000	6	0	6F1	1	0		0.104614	0.257414	0.181352	0.223148	0.087998	-0.052542	0.277860	67.883075	0.195019	0.224433	0.496002	0.467675								
20151207_184752	1	0	hc001-Avg	7	8.400000	7	0	7F1	1	0		0.087998	-0.052542	0.104614	0.257414	0.148043	0.137772	0.102491	-30.840474	0.240046	0.342517	0.956456	0.167988								
20151207_184752	1	0	hc001-Avg	8	9.600000	8	0	8F1	1	0		0.148043	0.137772	0.087998	-0.052542	0.048703	-0.137657	0.202233	42.941946	0.124255	0.229441	0.690235	0.394537								
20151207_184752	1	0	hc001-Avg	9	10.800000	9	0	9F1	1	0		0.048703	-0.137657	0.148043	0.137772	0.096622	0.013455	0.146019	-70.516300	0.149894	0.181335	0.732174	0.362799								
20151207_184752	1	0	hc001-Avg	10	36.000000	0	1	1F2	1	0		0.057517	0.079222	-0.056916	0.016250	-0.043791	-0.026374	0.097899	54.019531	0.055155	0.058454	0.300512	1.054369								
20151207_184752	1	0	hc001-Avg	11	37.200000	1	1	1F1+1F2	1	0		-0.043791	-0.026374	0.057517	0.079222	-0.032863	0.000317	0.051120	-148.940343	0.065382	0.032720	0.344667	0.550241								
20151207_184752	1	0	hc001-Avg	12	34.800000	1	-1	1F1-1F2	1	0		-0.056916	0.016250	-0.068783	-0.047741	0.057517	0.079222	0.059191	164.065273	0.090813	0.061587	0.645919	0.486624								
20151207_184752	1	0	hc002-Avg	1	1.200000	1	0	1F1	1	0		1.337015	-1.128168	0.427120	-0.741183	0.427120	-0.741183	1.749392	-40.157548	0.855444	0.912376	0.220353	1.038653								
20151207_184752	1	0	hc002-Avg	2	2.400000	2	0	2F1	1	0		0.427120	-0.741183	1.337015	-1.128168	-0.263623	0.252734	0.855444	-60.046509	1.057296	0.491732	0.277093	0.584376								
20151207_184752	1	0	hc002-Avg	3	3.600000	3	0	3F1	1	0		-0.263623	0.252734	0.427120	-0.741183	-0.024339	-0.612379	0.365201	136.208152	0.734153	0.278754	0.459553	0.282478								
20151207_184752	1	0	hc002-Avg	4	4.800000	4	0	4F1	1	0		-0.024339	-0.612379	-0.263623	0.252734	-0.140060	0.331270	0.612863	-92.276052	0.362431	0.368093	0.304199	0.915165								
20151207_184752	1	0	hc002-Avg	5	6.000000	5	0	5F1	1	0		-0.140060	0.331270	-0.024339	-0.612379	-0.102774	0.198104	0.359662	112.918483	0.418019	0.122370	0.053444	0.461732								
20151207_184752	1	0	hc002-Avg	6	7.200000	6	0	6F1	1	0		-0.102774	0.198104	-0.140060	0.331270	0.246052	0.276698	0.223176	117.419689	0.364968	0.166558	0.444906	0.363254								
