iSess	iCond	iTrial	iCh	iFr	AF	xF1	xF2	Harm	FK_Cond	iBin	SweepVal	Sr	Si	N1r	N1i	N2r	N2i	Signal	Phase	Noise	StdErr	PVal	SNR	LSB	RSB	UserSc	Thresh	ThrBin	Slope	ThrInRange	MaxSNR
20151118_185620	1	0	hc001-Avg	1	1.200000	1	0	1F1	1	0		0.735985	1.205318	0.709085	-1.487871	0.709085	-1.487871	1.412255	58.591161	1.648200	1.100748	0.462424	0.763160								
20151118_185620	1	0	hc001-Avg	2	2.400000	2	0	2F1	1	0		0.709085	-1.487871	0.735985	1.205318	-0.204119	0.669680	1.648200	-64.518627	1.056176	0.531440	0.029250	0.851109								
20151118_185620	1	0	hc001-Avg	3	3.600000	3	0	3F1	1	0		-0.204119	0.669680	0.709085	-1.487871	-0.927857	0.150471	0.700097	106.951243	1.294089	0.445777	0.325766	0.460727								
20151118_185620	1	0	hc001-Avg	4	4.800000	4	0	4F1	1	0		-0.927857	0.150471	-0.204119	0.669680	-0.134399	-0.012911	0.939979	170.788513	0.417558	0.358273	0.065856	0.895122								
20151118_185620	1	0	hc001-Avg	5	6.000000	5	0	5F1	1	0		-0.134399	-0.012911	-0.927857	0.150471	-0.459159	-0.006778	0.135018	-174.512808	0.699594	0.273829	0.886613	0.135540								
20151118_185620	1	0	hc001-Avg	6	7.200000	6	0	6F1	1	0		-0.459159	-0.006778	-0.134399	-0.012911	0.003545	0.224851	0.459209	-179.154321	0.179948	0.269985	0.273654	0.811131								
20151118_185620	1	0	hc001-Avg	7	8.400000	7	0	7F1	1	0		0.003545	0.224851	-0.459159	-0.006778	-0.156705	-0.003735	0.224879	89.096644	0.307979	0.284234	0.737058	0.375544								
20151118_185620	1	0	hc001-Avg	8	9.600000	8	0	8F1	1	0		-0.156705	-0.003735	0.003545	0.224851	-0.190845	-0.186476	0.156749	-178.634527	0.245852	0.178706	0.688767	0.382183								
20151118_185620	1	0	hc001-Avg	9	10.800000	9	0	9F1	1	0		-0.190845	-0.186476	-0.156705	-0.003735	-0.034811	0.174299	0.266825	-135.663401	0.167245	0.149456	0.243331	0.716124								
20151118_185620	1	0	hc001-Avg	10	36.000000	0	1	1F2	1	0		-0.083634	-0.014861	0.009648	0.045454	0.058711	0.008676	0.084944	-169.923946	0.052908	0.029682	0.044081	0.997045								
20151118_185620	1	0	hc001-Avg	11	37.200000	1	1	1F1+1F2	1	0		0.058711	0.008676	-0.083634	-0.014861	0.021734	0.022779	0.059349	8.406025	0.058214	0.025407	0.105516	0.691950								
20151118_185620	1	0	hc001-Avg	12	34.800000	1	-1	1F1-1F2	1	0		0.009648	0.045454	0.011181	-0.046722	-0.083634	-0.014861	0.046467	78.016620	0.066492	0.024829	0.215133	0.499534								
20151118_185620	1	0	hc002-Avg	1	1.200000	1	0	1F1	1	0		0.087655	0.568545	0.575879	-2.288319	0.575879	-2.288319	0.575263	81.235499	2.359670	1.419432	0.921670	0.227206								
20151118_185620	1	0	hc002-Avg	2	2.400000	2	0	2F1	1	0		0.575879	-2.288319	0.087655	0.568545	0.053696	0.320907	2.359670	-75.874270	0.450316	0.482933	0.001401	1.308794								
20151118_185620	1	0	hc002-Avg	3	3.600000	3	0	3F1	1	0		0.053696	0.320907	0.575879	-2.288319	-0.625452	-0.054862	0.325369	80.500880	1.493762	0.494314	0.808310	0.190196								
