iSess	iCond	iTrial	iCh	iFr	AF	xF1	xF2	Harm	FK_Cond	iBin	SweepVal	Sr	Si	N1r	N1i	N2r	N2i	Signal	Phase	Noise	StdErr	PVal	SNR	LSB	RSB	UserSc	Thresh	ThrBin	Slope	ThrInRange	MaxSNR
20150915_172519	1	0	hc001-Avg	1	1.200000	1	0	1F1	1	0		0.827606	0.084628	-0.355319	-0.267169	-0.355319	-0.267169	0.831922	5.838538	0.444557	0.732506	0.545201	0.831130								
20150915_172519	1	0	hc001-Avg	2	2.400000	2	0	2F1	1	0		-0.355319	-0.267169	0.827606	0.084628	0.481551	-0.163398	0.444557	-143.060030	0.670220	0.527281	0.709386	0.256973								
20150915_172519	1	0	hc001-Avg	3	3.600000	3	0	3F1	1	0		0.481551	-0.163398	-0.355319	-0.267169	-0.066622	0.269121	0.508518	-18.742963	0.360900	0.541382	0.655242	0.607910								
20150915_172519	1	0	hc001-Avg	4	4.800000	4	0	4F1	1	0		-0.066622	0.269121	0.481551	-0.163398	-0.308236	-0.474604	0.277244	103.904199	0.537216	0.288793	0.643524	0.276589								
20150915_172519	1	0	hc001-Avg	5	6.000000	5	0	5F1	1	0		-0.308236	-0.474604	-0.066622	0.269121	-0.264703	-0.081558	0.565914	-123.002064	0.277114	0.296463	0.211503	0.853957								
20150915_172519	1	0	hc001-Avg	6	7.200000	6	0	6F1	1	0		-0.264703	-0.081558	-0.308236	-0.474604	0.130744	0.230362	0.276983	-162.875365	0.415396	0.172109	0.316134	0.482908								
20150915_172519	1	0	hc001-Avg	7	8.400000	7	0	7F1	1	0		0.130744	0.230362	-0.264703	-0.081558	-0.139191	0.173934	0.264879	60.422452	0.249877	0.186723	0.399819	0.511033								
20150915_172519	1	0	hc001-Avg	8	9.600000	8	0	8F1	1	0		-0.139191	0.173934	0.130744	0.230362	0.156236	0.066675	0.222772	128.668728	0.217373	0.164369	0.430344	0.490287								
20150915_172519	1	0	hc001-Avg	9	10.800000	9	0	9F1	1	0		0.156236	0.066675	-0.139191	0.173934	0.071548	0.048274	0.169868	23.110712	0.154541	0.131548	0.462508	0.532046								
20150915_172519	1	0	hc001-Avg	10	36.000000	0	1	1F2	1	0		-0.006017	0.047788	-0.021272	0.024415	-0.000522	-0.003380	0.048165	97.175967	0.017901	0.028572	0.286331	1.189171								
20150915_172519	1	0	hc001-Avg	11	37.200000	1	1	1F1+1F2	1	0		-0.000522	-0.003380	-0.006017	0.047788	-0.033648	0.037361	0.003420	-98.786932	0.049222	0.025411	0.990992	0.048914								
20150915_172519	1	0	hc001-Avg	12	34.800000	1	-1	1F1-1F2	1	0		-0.021272	0.024415	0.014518	-0.019892	-0.006017	0.047788	0.032382	131.065155	0.036396	0.016142	0.184330	0.544218								
20150915_172519	1	0	hc002-Avg	1	1.200000	1	0	1F1	1	0		0.952157	0.118787	-0.303152	-0.264864	-0.303152	-0.264864	0.959538	7.111215	0.402559	0.784508	0.498044	0.963624								
20150915_172519	1	0	hc002-Avg	2	2.400000	2	0	2F1	1	0		-0.303152	-0.264864	0.952157	0.118787	0.474237	-0.170909	0.402559	-138.856239	0.731816	0.500218	0.730686	0.220796								
20150915_172519	1	0	hc002-Avg	3	3.600000	3	0	3F1	1	0		0.474237	-0.170909	-0.303152	-0.264864	0.009708	0.327153	0.504094	-19.818547	0.364928	0.573134	0.688967	0.584200								
20150915_172519	1	0	hc002-Avg	4	4.800000	4	0	4F1	1	0		0.009708	0.327153	0.474237	-0.170909	-0.312252	-0.512358	0.327297	88.300373	0.552052	0.311514	0.592412	0.326980								
20150915_172519	1	0	hc002-Avg	5	6.000000	5	0	5F1	1	0		-0.312252	-0.512358	0.009708	0.327153	-0.269709	-0.059998	0.600009	-121.359832	0.301799	0.294746	0.176660	0.838325								
20150915_172519	1	0	hc002-Avg	6	7.200000	6	0	6F1	1	0		-0.269709	-0.059998	-0.312252	-0.512358	0.143077	0.238632	0.276302	-167.458470	0.439123	0.190177	0.383825	0.456418								
20150915_172519	1	0	hc002-Avg	7	8.400000	7	0	7F1	1	0		0.143077	0.238632	-0.269709	-0.059998	-0.174910	0.188833	0.278237	59.054283	0.266847	0.207068	0.436086	0.487355								
20150915_172519	1	0	hc002-Avg	8	9.600000	8	0	8F1	1	0		-0.174910	0.188833	0.143077	0.238632	0.145329	0.087792	0.257393	132.807860	0.224013	0.172074	0.364365	0.581344								
20150915_172519	1	0	hc002-Avg	9	10.800000	9	0	9F1	1	0		0.145329	0.087792	-0.174910	0.188833	0.066379	0.041293	0.169788	31.135797	0.167784	0.124893	0.428299	0.491363								
20150915_172519	1	0	hc002-Avg	10	36.000000	0	1	1F2	1	0		-0.012763	0.048385	-0.021694	0.022840	-0.000054	-0.000257	0.050040	104.776367	0.015882	0.030201	0.297327	1.205185								
20150915_172519	1	0	hc002-Avg	11	37.200000	1	1	1F1+1F2	1	0		-0.000054	-0.000257	-0.012763	0.048385	-0.026331	0.041067	0.000263	-101.901200	0.049412	0.027181	0.999953	0.003720								
20150915_172519	1	0	hc002-Avg	12	34.800000	1	-1	1F1-1F2	1	0		-0.021694	0.022840	0.018216	-0.019703	-0.012763	0.048385	0.031501	133.526552	0.038437	0.019794	0.323445	0.493586								
20150915_172519	1	0	hc003-Avg	1	1.200000	1	0	1F1	1	0		1.207012	0.341458	-0.114914	-0.075010	-0.114914	-0.075010	1.254381	15.795960	0.137229	0.959364	0.454246	1.210425								
20150915_172519	1	0	hc003-Avg	2	2.400000	2	0	2F1	1	0		-0.114914	-0.075010	1.207012	0.341458	0.553232	-0.019785	0.137229	-146.865428	0.903983	0.478759	0.959914	0.065331								
20150915_172519	1	0	hc003-Avg	3	3.600000	3	0	3F1	1	0		0.553232	-0.019785	-0.114914	-0.075010	0.216999	0.561338	0.553585	-2.048136	0.369525	0.710635	0.744851	0.556640								
20150915_172519	1	0	hc003-Avg	4	4.800000	4	0	4F1	1	0		0.216999	0.561338	0.553232	-0.019785	-0.270754	-0.440527	0.601822	68.864753	0.535333	0.345950	0.266624	0.565561								
20150915_172519	1	0	hc003-Avg	5	6.000000	5	0	5F1	1	0		-0.270754	-0.440527	0.216999	0.561338	-0.242175	0.111866	0.517080	-121.575458	0.434292	0.280878	0.232406	0.614909								
20150915_172519	1	0	hc003-Avg	6	7.200000	6	0	6F1	1	0		-0.242175	0.111866	-0.270754	-0.440527	0.145466	0.333997	0.266763	155.206672	0.440690	0.328842	0.727119	0.388045								
20150915_172519	1	0	hc003-Avg	7	8.400000	7	0	7F1	1	0		0.145466	0.333997	-0.242175	0.111866	-0.130184	0.201629	0.364300	66.465313	0.253384	0.253865	0.392099	0.570874								
20150915_172519	1	0	hc003-Avg	8	9.600000	8	0	8F1	1	0		-0.130184	0.201629	0.145466	0.333997	0.115325	0.148588	0.240005	122.848728	0.276195	0.156250	0.346750	0.486941								
20150915_172519	1	0	hc003-Avg	9	10.800000	9	0	9F1	1	0		0.115325	0.148588	-0.130184	0.201629	0.065940	0.090826	0.188091	52.183595	0.176121	0.105314	0.250499	0.428528								
20150915_172519	1	0	hc003-Avg	10	36.000000	0	1	1F2	1	0		-0.026078	0.070839	-0.039279	0.036861	0.000302	0.038503	0.075487	110.210187	0.046185	0.044039	0.275834	1.017179								
20150915_172519	1	0	hc003-Avg	11	37.200000	1	1	1F1+1F2	1	0		0.000302	0.038503	-0.026078	0.070839	-0.036267	0.057199	0.038504	89.550762	0.071607	0.033415	0.536140	0.380453								
20150915_172519	1	0	hc003-Avg	12	34.800000	1	-1	1F1-1F2	1	0		-0.039279	0.036861	0.055847	-0.051213	-0.026078	0.070839	0.053867	136.818592	0.075630	0.047126	0.541200	0.499314								
20150915_172519	1	0	hc004-Avg	1	1.200000	1	0	1F1	1	0		1.269709	0.159139	-0.214174	-0.321970	-0.214174	-0.321970	1.279643	7.143920	0.386698	0.838702	0.351202	1.219251								
20150915_172519	1	0	hc004-Avg	2	2.400000	2	0	2F1	1	0		-0.214174	-0.321970	1.269709	0.159139	0.456683	-0.019585	0.386698	-123.631762	0.868373	0.254619	0.354259	0.182894								
20150915_172519	1	0	hc004-Avg	3	3.600000	3	0	3F1	1	0		0.456683	-0.019585	-0.214174	-0.321970	0.203688	0.456960	0.457103	-2.455700	0.443499	0.622969	0.769359	0.463735								
20150915_172519	1	0	hc004-Avg	4	4.800000	4	0	4F1	1	0		0.203688	0.456960	0.456683	-0.019585	-0.281996	-0.635686	0.500301	65.975253	0.576265	0.322388	0.339971	0.473169								
20150915_172519	1	0	hc004-Avg	5	6.000000	5	0	5F1	1	0		-0.281996	-0.635686	0.203688	0.456960	-0.249500	0.064135	0.695427	-113.922522	0.378956	0.269976	0.078499	0.826991								
20150915_172519	1	0	hc004-Avg	6	7.200000	6	0	6F1	1	0		-0.249500	0.064135	-0.281996	-0.635686	0.113878	0.166540	0.257611	165.583937	0.448589	0.270550	0.647955	0.345500								
20150915_172519	1	0	hc004-Avg	7	8.400000	7	0	7F1	1	0		0.113878	0.166540	-0.249500	0.064135	-0.270362	0.206435	0.201752	55.636154	0.298887	0.278872	0.774857	0.299193								
20150915_172519	1	0	hc004-Avg	8	9.600000	8	0	8F1	1	0		-0.270362	0.206435	0.113878	0.166540	0.107722	0.229018	0.340163	142.636399	0.227420	0.175860	0.204096	0.711029								
20150915_172519	1	0	hc004-Avg	9	10.800000	9	0	9F1	1	0		0.107722	0.229018	-0.270362	0.206435	-0.009393	0.080285	0.253088	64.809282	0.210498	0.108044	0.112243	0.604256								
20150915_172519	1	0	hc004-Avg	10	36.000000	0	1	1F2	1	0		-0.011304	0.060968	-0.025426	0.015197	0.000172	0.009399	0.062007	100.503999	0.019511	0.039020	0.324386	1.285056								
20150915_172519	1	0	hc004-Avg	11	37.200000	1	1	1F1+1F2	1	0		0.000172	0.009399	-0.011304	0.060968	-0.016183	0.049142	0.009400	88.950623	0.056872	0.031400	0.956366	0.123628								
20150915_172519	1	0	hc004-Avg	12	34.800000	1	-1	1F1-1F2	1	0		-0.025426	0.015197	0.011826	-0.011329	-0.011304	0.060968	0.029621	149.132605	0.039192	0.026884	0.563899	0.410100								
20150915_172519	1	0	hc005-Avg	1	1.200000	1	0	1F1	1	0		1.381081	0.534003	0.060531	-0.508202	0.060531	-0.508202	1.480724	21.139285	0.511794	0.701415	0.158372	1.306823								
20150915_172519	1	0	hc005-Avg	2	2.400000	2	0	2F1	1	0		0.060531	-0.508202	1.381081	0.534003	0.568111	-0.095534	0.511794	-83.207559	1.028406	0.239792	0.153070	0.242056								
20150915_172519	1	0	hc005-Avg	3	3.600000	3	0	3F1	1	0		0.568111	-0.095534	0.060531	-0.508202	0.130026	0.456412	0.576088	-9.545591	0.493183	0.554719	0.599225	0.553679								
20150915_172519	1	0	hc005-Avg	4	4.800000	4	0	4F1	1	0		0.130026	0.456412	0.568111	-0.095534	-0.174294	-0.602479	0.474572	74.098445	0.601636	0.282547	0.288649	0.416754								
20150915_172519	1	0	hc005-Avg	5	6.000000	5	0	5F1	1	0		-0.174294	-0.602479	0.130026	0.456412	-0.142385	-0.062425	0.627184	-106.134839	0.315020	0.283491	0.136416	0.831111								
20150915_172519	1	0	hc005-Avg	6	7.200000	6	0	6F1	1	0		-0.142385	-0.062425	-0.174294	-0.602479	0.105433	0.006066	0.155469	-156.326090	0.366395	0.222498	0.787929	0.182018								
20150915_172519	1	0	hc005-Avg	7	8.400000	7	0	7F1	1	0		0.105433	0.006066	-0.142385	-0.062425	-0.342374	0.256253	0.105607	3.292671	0.291560	0.283710	0.933510	0.177480								
20150915_172519	1	0	hc005-Avg	8	9.600000	8	0	8F1	1	0		-0.342374	0.256253	0.105433	0.006066	0.111158	0.202034	0.427651	143.186606	0.168101	0.153638	0.056790	0.787481								
