iSess	iCond	iTrial	iCh	iFr	AF	xF1	xF2	Harm	FK_Cond	iBin	SweepVal	Sr	Si	N1r	N1i	N2r	N2i	Signal	Phase	Noise	StdErr	PVal	SNR	LSB	RSB	UserSc	Thresh	ThrBin	Slope	ThrInRange	MaxSNR
20150929_174910	1	0	hc001-Avg	1	1.200000	1	0	1F1	1	0		1.945850	0.764608	-0.243151	-0.728529	-0.243151	-0.728529	2.090684	21.452001	0.768035	0.810427	0.088800	1.500400								
20150929_174910	1	0	hc001-Avg	2	2.400000	2	0	2F1	1	0		-0.243151	-0.728529	1.945850	0.764608	-0.157298	0.146889	0.768035	-108.456757	1.152951	0.636434	0.512239	0.382664								
20150929_174910	1	0	hc001-Avg	3	3.600000	3	0	3F1	1	0		-0.157298	0.146889	-0.243151	-0.728529	-0.283911	0.066799	0.215219	136.959999	0.529849	0.399627	0.867231	0.189218								
20150929_174910	1	0	hc001-Avg	4	4.800000	4	0	4F1	1	0		-0.283911	0.066799	-0.157298	0.146889	-0.009608	0.271936	0.291663	166.760118	0.243662	0.415415	0.787275	0.316106								
20150929_174910	1	0	hc001-Avg	5	6.000000	5	0	5F1	1	0		-0.009608	0.271936	-0.283911	0.066799	-0.283811	0.066990	0.272106	92.023619	0.291637	0.295131	0.667692	0.328194								
20150929_174910	1	0	hc001-Avg	6	7.200000	6	0	6F1	1	0		-0.283811	0.066990	-0.009608	0.271936	-0.097057	0.117596	0.291610	166.719199	0.212291	0.230953	0.483410	0.505153								
20150929_174910	1	0	hc001-Avg	7	8.400000	7	0	7F1	1	0		-0.097057	0.117596	-0.283811	0.066990	0.187663	-0.139240	0.152476	129.534378	0.262644	0.230282	0.807825	0.227098								
20150929_174910	1	0	hc001-Avg	8	9.600000	8	0	8F1	1	0		0.187663	-0.139240	-0.097057	0.117596	-0.155521	0.174191	0.233677	-36.574235	0.192995	0.146614	0.331856	0.442869								
20150929_174910	1	0	hc001-Avg	9	10.800000	9	0	9F1	1	0		-0.155521	0.174191	0.187663	-0.139240	-0.092949	0.195761	0.233515	131.759115	0.225192	0.181024	0.469600	0.451975								
20150929_174910	1	0	hc001-Avg	10	36.000000	0	1	1F2	1	0		0.004189	0.070436	0.050545	-0.061176	0.100083	-0.012611	0.070561	86.596850	0.090115	0.018635	0.016453	0.709078								
20150929_174910	1	0	hc001-Avg	11	37.200000	1	1	1F1+1F2	1	0		0.100083	-0.012611	0.004189	0.070436	0.044557	0.048324	0.100874	-7.181853	0.068146	0.032886	0.044592	1.014025								
20150929_174910	1	0	hc001-Avg	12	34.800000	1	-1	1F1-1F2	1	0		0.050545	-0.061176	0.018872	-0.017069	0.004189	0.070436	0.079355	-50.435941	0.048004	0.029605	0.077044	0.840023								
20150929_174910	1	0	hc002-Avg	1	1.200000	1	0	1F1	1	0		2.541218	0.267472	-0.073270	-1.509388	-0.073270	-1.509388	2.555256	6.008464	1.511166	1.218753	0.173485	1.070241								
20150929_174910	1	0	hc002-Avg	2	2.400000	2	0	2F1	1	0		-0.073270	-1.509388	2.541218	0.267472	-0.184875	-1.241346	1.511166	-92.779114	1.905147	1.040139	0.391943	0.543822								
20150929_174910	1	0	hc002-Avg	3	3.600000	3	0	3F1	1	0		-0.184875	-1.241346	-0.073270	-1.509388	-0.141686	0.221164	1.255038	-98.470844	0.886911	0.595696	0.171099	0.694429								
20150929_174910	1	0	hc002-Avg	4	4.800000	4	0	4F1	1	0		-0.141686	0.221164	-0.184875	-1.241346	-0.190705	0.215009	0.262656	122.645275	0.771217	0.446030	0.843889	0.182532								
20150929_174910	1	0	hc002-Avg	5	6.000000	5	0	5F1	1	0		-0.190705	0.215009	-0.141686	0.221164	-0.543949	-0.340960	0.287397	131.571832	0.452316	0.273569	0.596345	0.247581								
20150929_174910	1	0	hc002-Avg	6	7.200000	6	0	6F1	1	0		-0.543949	-0.340960	-0.190705	0.215009	-0.225679	-0.008805	0.641976	-147.919567	0.256624	0.346845	0.240329	0.728791								
20150929_174910	1	0	hc002-Avg	7	8.400000	7	0	7F1	1	0		-0.225679	-0.008805	-0.543949	-0.340960	0.240997	-0.068720	0.225850	-177.765719	0.446290	0.181680	0.493393	0.247636								
