iSess	iCond	iTrial	iCh	iFr	AF	xF1	xF2	Harm	FK_Cond	iBin	SweepVal	Sr	Si	N1r	N1i	N2r	N2i	Signal	Phase	Noise	StdErr	PVal	SNR	LSB	RSB	UserSc	Thresh	ThrBin	Slope	ThrInRange	MaxSNR
20150810_100800	1	0	hc001-Avg	1	1.200000	1	0	1F1	1	0		-0.357699	2.687698	-1.308048	-0.469380	-1.308048	-0.469380	2.711396	97.580813	1.389715	1.973691	0.428607	1.066361								
20150810_100800	1	0	hc001-Avg	2	2.400000	2	0	2F1	1	0		-1.308048	-0.469380	-0.357699	2.687698	-1.110871	0.069088	1.389715	-160.259963	1.912207	0.634706	0.152870	0.448263								
20150810_100800	1	0	hc001-Avg	3	3.600000	3	0	3F1	1	0		-1.110871	0.069088	-1.308048	-0.469380	0.037330	-0.192687	1.113017	176.441199	0.792992	0.869984	0.474940	0.562042								
20150810_100800	1	0	hc001-Avg	4	4.800000	4	0	4F1	1	0		0.037330	-0.192687	-1.110871	0.069088	-0.451559	-0.125170	0.196270	-79.035772	0.790802	0.580343	0.944799	0.122523								
20150810_100800	1	0	hc001-Avg	5	6.000000	5	0	5F1	1	0		-0.451559	-0.125170	0.037330	-0.192687	0.138105	-1.250470	0.468586	-164.506939	0.727172	0.665830	0.786409	0.270651								
20150810_100800	1	0	hc001-Avg	6	7.200000	6	0	6F1	1	0		0.138105	-1.250470	-0.451559	-0.125170	-0.072839	0.427211	1.258073	-83.697657	0.450981	0.410941	0.044969	1.030003								
20150810_100800	1	0	hc001-Avg	7	8.400000	7	0	7F1	1	0		-0.072839	0.427211	0.138105	-1.250470	0.485625	-0.223555	0.433376	99.675812	0.896342	0.443346	0.636789	0.314033								
20150810_100800	1	0	hc001-Avg	8	9.600000	8	0	8F1	1	0		0.485625	-0.223555	-0.072839	0.427211	-0.252707	-0.316540	0.534611	-24.718762	0.419209	0.220649	0.110662	0.570051								
20150810_100800	1	0	hc001-Avg	9	10.800000	9	0	9F1	1	0		-0.252707	-0.316540	0.485625	-0.223555	-0.056486	0.034357	0.405042	-128.601783	0.300363	0.249510	0.320161	0.607137								
20150810_100800	1	0	hc001-Avg	10	36.000000	0	1	1F2	1	0		-0.078765	0.023818	-0.125228	-0.083621	0.078093	-0.087685	0.082287	163.175164	0.134000	0.084783	0.640657	0.345333								
20150810_100800	1	0	hc001-Avg	11	37.200000	1	1	1F1+1F2	1	0		0.078093	-0.087685	-0.078765	0.023818	-0.004104	-0.002414	0.117419	-48.311524	0.043524	0.070171	0.301061	0.635021								
20150810_100800	1	0	hc001-Avg	12	34.800000	1	-1	1F1-1F2	1	0		-0.125228	-0.083621	-0.175547	-0.096445	-0.078765	0.023818	0.150580	-146.266955	0.141292	0.122703	0.501612	0.692733								
20150810_100800	1	0	hc002-Avg	1	1.200000	1	0	1F1	1	0		-0.243267	3.369211	-1.471754	-0.169958	-1.471754	-0.169958	3.377981	94.129756	1.481535	2.295709	0.383628	1.325123								
20150810_100800	1	0	hc002-Avg	2	2.400000	2	0	2F1	1	0		-1.471754	-0.169958	-0.243267	3.369211	-1.345366	0.203656	1.481535	-173.412685	2.369337	0.562063	0.082043	0.416396								
20150810_100800	1	0	hc002-Avg	3	3.600000	3	0	3F1	1	0		-1.345366	0.203656	-1.471754	-0.169958	-0.254016	-0.159329	1.360693	171.392163	0.890692	0.982329	0.423196	0.701852								
20150810_100800	1	0	hc002-Avg	4	4.800000	4	0	4F1	1	0		-0.254016	-0.159329	-1.345366	0.203656	-0.635099	0.177940	0.299850	-147.902323	1.010124	0.616335	0.889918	0.160103								
20150810_100800	1	0	hc002-Avg	5	6.000000	5	0	5F1	1	0		-0.635099	0.177940	-0.254016	-0.159329	0.163713	-1.453630	0.659555	164.348360	0.881335	0.814808	0.729871	0.378759								
20150810_100800	1	0	hc002-Avg	6	7.200000	6	0	6F1	1	0		0.163713	-1.453630	-0.635099	0.177940	-0.048365	0.263276	1.462820	-83.574237	0.463618	0.527154	0.067411	1.047848								
20150810_100800	1	0	hc002-Avg	7	8.400000	7	0	7F1	1	0		-0.048365	0.263276	0.163713	-1.453630	0.401756	-0.198217	0.267681	100.409444	0.955407	0.435392	0.831384	0.186054								
20150810_100800	1	0	hc002-Avg	8	9.600000	8	0	8F1	1	0		0.401756	-0.198217	-0.048365	0.263276	-0.329325	-0.369700	0.447993	-26.260604	0.381395	0.247690	0.253781	0.433539								
20150810_100800	1	0	hc002-Avg	9	10.800000	9	0	9F1	1	0		-0.329325	-0.369700	0.401756	-0.198217	-0.064268	0.068921	0.495110	-131.694320	0.271114	0.288961	0.286392	0.731535								
20150810_100800	1	0	hc002-Avg	10	36.000000	0	1	1F2	1	0		-0.105268	0.048259	-0.095312	-0.087968	0.058257	-0.117977	0.115802	155.371394	0.130640	0.080376	0.397415	0.457144								
20150810_100800	1	0	hc002-Avg	11	37.200000	1	1	1F1+1F2	1	0		0.058257	-0.117977	-0.105268	0.048259	0.048089	-0.015128	0.131577	-63.719802	0.083107	0.077322	0.290631	0.639605								
20150810_100800	1	0	hc002-Avg	12	34.800000	1	-1	1F1-1F2	1	0		-0.095312	-0.087968	-0.149489	-0.137311	-0.105268	0.048259	0.129702	-137.294629	0.159391	0.122058	0.589700	0.540582								
20150810_100800	1	0	hc003-Avg	1	1.200000	1	0	1F1	1	0		-1.847916	2.662750	-2.060308	-0.647127	-2.060308	-0.647127	3.241147	124.760172	2.159547	2.241518	0.395055	0.900711								
20150810_100800	1	0	hc003-Avg	2	2.400000	2	0	2F1	1	0		-2.060308	-0.647127	-1.847916	2.662750	-1.796933	-0.159994	2.159547	-162.562903	2.522594	0.695311	0.042241	0.487423								
20150810_100800	1	0	hc003-Avg	3	3.600000	3	0	3F1	1	0		-1.796933	-0.159994	-2.060308	-0.647127	-1.080774	-0.469395	1.804041	-174.911964	1.668926	1.256104	0.399482	0.659353								
20150810_100800	1	0	hc003-Avg	4	4.800000	4	0	4F1	1	0		-1.080774	-0.469395	-1.796933	-0.159994	-1.047260	0.211772	1.178305	-156.524024	1.436249	0.465387	0.094984	0.448167								
20150810_100800	1	0	hc003-Avg	5	6.000000	5	0	5F1	1	0		-1.047260	0.211772	-1.080774	-0.469395	0.678592	-1.561902	1.068457	168.568074	1.440625	1.004297	0.589012	0.490880								
20150810_100800	1	0	hc003-Avg	6	7.200000	6	0	6F1	1	0		0.678592	-1.561902	-1.047260	0.211772	-0.214082	0.469089	1.702946	-66.516726	0.792044	0.831480	0.185217	0.900055								
20150810_100800	1	0	hc003-Avg	7	8.400000	7	0	7F1	1	0		-0.214082	0.469089	0.678592	-1.561902	0.448624	-0.418306	0.515631	114.530965	1.158166	0.529978	0.639336	0.303898								
20150810_100800	1	0	hc003-Avg	8	9.600000	8	0	8F1	1	0		0.448624	-0.418306	-0.214082	0.469089	-0.408213	-0.522776	0.613387	-42.997110	0.589452	0.222583	0.069263	0.444002								
20150810_100800	1	0	hc003-Avg	9	10.800000	9	0	9F1	1	0		-0.408213	-0.522776	0.448624	-0.418306	-0.051691	0.069315	0.663274	-127.984714	0.349927	0.386927	0.286105	0.796194								
20150810_100800	1	0	hc003-Avg	10	36.000000	0	1	1F2	1	0		-0.140853	0.067299	-0.176966	-0.088009	0.051115	-0.134162	0.156105	154.461662	0.170606	0.087796	0.263921	0.434854								
20150810_100800	1	0	hc003-Avg	11	37.200000	1	1	1F1+1F2	1	0		0.051115	-0.134162	-0.140853	0.067299	0.075240	-0.023644	0.143569	-69.143404	0.117486	0.108948	0.455765	0.563429								
20150810_100800	1	0	hc003-Avg	12	34.800000	1	-1	1F1-1F2	1	0		-0.176966	-0.088009	-0.132196	-0.184064	-0.140853	0.067299	0.197642	-153.557904	0.191361	0.182428	0.578325	0.645652								
20150810_100800	1	0	hc004-Avg	1	1.200000	1	0	1F1	1	0		0.156318	3.470442	-1.420373	0.245504	-1.420373	0.245504	3.473960	87.420980	1.441434	2.405235	0.395792	1.228652								
20150810_100800	1	0	hc004-Avg	2	2.400000	2	0	2F1	1	0		-1.420373	0.245504	0.156318	3.470442	-1.643704	0.240734	1.441434	170.193617	2.567600	0.745304	0.215587	0.360314								
20150810_100800	1	0	hc004-Avg	3	3.600000	3	0	3F1	1	0		-1.643704	0.240734	-1.420373	0.245504	-0.592315	-0.212748	1.661240	171.667794	1.035399	1.008619	0.310996	0.770011								
20150810_100800	1	0	hc004-Avg	4	4.800000	4	0	4F1	1	0		-0.592315	-0.212748	-1.643704	0.240734	-0.807468	0.568668	0.629364	-160.242684	1.324428	0.668659	0.656978	0.286852								
20150810_100800	1	0	hc004-Avg	5	6.000000	5	0	5F1	1	0		-0.807468	0.568668	-0.592315	-0.212748	0.285786	-1.715833	0.987617	144.844436	1.184417	0.988654	0.624877	0.527392								
20150810_100800	1	0	hc004-Avg	6	7.200000	6	0	6F1	1	0		0.285786	-1.715833	-0.807468	0.568668	0.042191	0.085221	1.739470	-80.543719	0.541355	0.614005	0.062098	1.032969								
20150810_100800	1	0	hc004-Avg	7	8.400000	7	0	7F1	1	0		0.042191	0.085221	0.285786	-1.715833	0.292291	0.082139	0.095093	63.661081	1.021542	0.441871	0.977174	0.060621								
20150810_100800	1	0	hc004-Avg	8	9.600000	8	0	8F1	1	0		0.292291	0.082139	0.042191	0.085221	-0.380699	-0.531089	0.303613	15.696257	0.374268	0.356139	0.706227	0.254255								
20150810_100800	1	0	hc004-Avg	9	10.800000	9	0	9F1	1	0		-0.380699	-0.531089	0.292291	0.082139	-0.082038	0.057548	0.653442	-125.633995	0.201912	0.309028	0.169331	0.922217								
20150810_100800	1	0	hc004-Avg	10	36.000000	0	1	1F2	1	0		-0.075731	0.068192	-0.157020	-0.142361	0.067530	-0.180663	0.101909	137.998650	0.202410	0.134349	0.757437	0.261925								
20150810_100800	1	0	hc004-Avg	11	37.200000	1	1	1F1+1F2	1	0		0.067530	-0.180663	-0.075731	0.068192	0.003215	-0.063136	0.192871	-69.504769	0.082563	0.127970	0.367977	0.757116								
