"Chan","Cond","Fvals","FdfNum","FdfDen","Pvals","xpos","ypos","Pvals_cuts"
1,"Direction",7.26922623559864,4,360,1.22460247184059e-05,0.27061,0.25813,"<.0001"
2,"Direction",6.50596808234013,4,360,4.59538696252606e-05,0.18883,0.2394,"<.0001"
3,"Direction",2.60992622645257,4,360,0.0353736602496637,0.11004,0.2174,"<.05"
4,"Direction",3.08300412863687,4,360,0.016206970038601,0.073707,0.18359,"<.05"
5,"Direction",4.92570535577493,4,360,0.000706466468326363,0.035595,0.13683,"<.001"
6,"Direction",1.77872949976614,4,360,0.132491113336845,-2.187e-17,0.089291,"ns"
7,"Direction",0.593161368069507,4,360,0.667798657834856,-0.028292,0.036037,"ns"
8,"Direction",6.83512366347371,4,360,2.59786837847501e-05,0.15945,0.30209,"<.0001"
9,"Direction",2.74433004103771,4,360,0.0283838751444966,0.083862,0.27643,"<.05"
10,"Direction",3.23429141392656,4,360,0.0125898340940586,0.050145,0.23852,"<.05"
11,"Direction",3.79449555117219,4,360,0.00489623516569549,-4.8953e-17,0.19987,"<.005"
12,"Direction",4.26332521035963,4,360,0.00220267172980793,-0.035595,0.13683,"<.005"
13,"Direction",7.10145476345893,4,360,1.63761129917635e-05,-0.058411,0.078036,"<.0001"
14,"Direction",3.33959210492173,4,360,0.0105529804324246,0.044058,0.32872,"<.05"
15,"Direction",3.25502193561923,4,360,0.0121604533895067,-6.9342e-17,0.28311,"<.05"
16,"Direction",5.64345873995284,4,360,0.000204617828277895,-6.0391e-17,0.24656,"<.0005"
17,"Direction",4.35701809950809,4,360,0.00187638228199263,-8.7824e-17,0.35857,"<.005"
18,"Direction",2.61987677299478,4,360,0.0348035076305709,-0.050145,0.23852,"<.05"
19,"Direction",2.79517648942932,4,360,0.0261063972230289,-0.073707,0.18359,"<.05"
20,"Direction",0.924821533034448,4,360,0.449493224665314,-0.097709,0.1308,"ns"
21,"Direction",3.35566806901793,4,360,0.0102719652876393,-0.044058,0.32872,"<.05"
22,"Direction",5.06724393441565,4,360,0.000553555827019951,-0.083862,0.27643,"<.001"
23,"Direction",2.16818529987611,4,360,0.0720989171950394,-0.11004,0.2174,"ns"
24,"Direction",6.90733039408831,4,360,2.29234514687774e-05,-0.12335,0.16655,"<.0001"
25,"Direction",8.38351057818123,4,360,1.78172538457682e-06,-0.15945,0.30209,"<.0001"
26,"Direction",5.93499891172812,4,360,0.000123549703770779,-0.18883,0.2394,"<.0005"
27,"Direction",9.41452545268598,4,360,3.01341856140957e-07,-0.1756,0.16852,"<.0001"
28,"Direction",4.75004968485405,4,360,0.000955840261408319,-0.15612,0.11703,"<.001"
29,"Direction",4.37583805218497,4,360,0.00181687393248671,-0.12367,0.07006,"<.005"
30,"Direction",1.31199568904776,4,360,0.265024946522083,-0.089234,0.023191,"ns"
31,"Direction",2.8171137684214,4,360,0.0251796706634506,-0.044495,-0.015575,"<.05"
32,"Direction",1.36408150197781,4,360,0.245916092981136,-0.27061,0.25813,"ns"
33,"Direction",3.45097021054397,4,360,0.00875104328682548,-0.27006,0.17418,"<.01"
34,"Direction",7.10359891361569,4,360,1.63153954208933e-05,-0.22865,0.099464,"<.0001"
35,"Direction",7.62803550167371,4,360,6.57922313935236e-06,-0.1832,0.042556,"<.0001"
36,"Direction",7.53846226610186,4,360,7.68272466398368e-06,-0.14086,0.0073253,"<.0001"
37,"Direction",2.27250743416564,4,360,0.0610491623088572,-0.091723,-0.035635,"ns"
38,"Direction",4.01849502939662,4,360,0.00334543103577788,-0.34659,0.19108,"<.005"
39,"Direction",2.92352556635092,4,360,0.0211205593153644,-0.33383,0.039461,"<.05"
40,"Direction",3.21159662544929,4,360,0.0130769742796196,-0.25598,0.0011134,"<.05"
41,"Direction",2.93497659156648,4,360,0.0207238556959514,-0.19461,-0.022574,"<.05"
42,"Direction",6.99639776994459,4,360,1.96452777267008e-05,-0.15112,-0.059346,"<.0001"
43,"Direction",1.22270258501444,4,360,0.300754716110251,-0.41311,0.15319,"ns"
44,"Direction",5.31011625606779,4,360,0.000364040490215557,-0.39898,0.074566,"<.0005"
45,"Direction",0.644265655260937,4,360,0.631257853798378,-0.31837,-0.081339,"ns"
46,"Direction",6.65533964279194,4,360,3.54742931491161e-05,-0.24052,-0.075603,"<.0001"
47,"Direction",4.56183920606149,4,360,0.00132075339306078,-0.19145,-0.085584,"<.005"
48,"Direction",2.45494760865788,4,360,0.0455109061489275,-0.45895,0.17222,"<.05"
49,"Direction",3.89503062164946,4,360,0.00412769017607143,-0.46317,0.03064,"<.005"
50,"Direction",7.78580944483534,4,360,5.00719206171976e-06,-0.27341,-0.16219,"<.0001"
51,"Direction",7.47540679147896,4,360,8.56894739362752e-06,-0.20096,-0.14301,"<.0001"
52,"Direction",4.4542569930828,4,360,0.00158843171963798,-0.15394,-0.11866,"<.005"
53,"Direction",4.93711820276383,4,360,0.000692714466549478,-0.099452,-0.09574,"<.001"
54,"Direction",2.85937387826477,4,360,0.0234839101028632,-0.050987,-0.076676,"<.05"
55,"Direction",5.39053027464202,4,360,0.00031683149209648,5.8045e-18,-0.047397,"<.0005"
56,"Direction",1.31482780137857,4,360,0.263953864784324,-0.41976,-0.1671,"ns"
57,"Direction",2.34541276891249,4,360,0.0543099689156983,-0.33631,-0.19112,"ns"
58,"Direction",6.0545024621485,4,360,0.000100456577511599,-0.22492,-0.21452,"<.0005"
59,"Direction",5.12139230879799,4,360,0.000504204560104823,-0.15297,-0.18922,"<.001"
