"Chan","Cond","Fvals","FdfNum","FdfDen","Pvals","xpos","ypos","Pvals_cuts"
1,"Direction",1.21125208755949,4,360,0.305618095461354,0.27061,0.25813,"ns"
2,"Direction",0.362380481764933,4,360,0.835350500319415,0.18883,0.2394,"ns"
3,"Direction",0.703566979055977,4,360,0.589918877936587,0.11004,0.2174,"ns"
4,"Direction",0.527921374189294,4,360,0.715286758646679,0.073707,0.18359,"ns"
5,"Direction",0.401649804564937,4,360,0.807448930926243,0.035595,0.13683,"ns"
6,"Direction",0.598959555123182,4,360,0.663617575419239,-2.187e-17,0.089291,"ns"
7,"Direction",0.929894617143039,4,360,0.446564288312869,-0.028292,0.036037,"ns"
8,"Direction",1.44143267834944,4,360,0.219759301318354,0.15945,0.30209,"ns"
9,"Direction",0.671327196388292,4,360,0.61223477769121,0.083862,0.27643,"ns"
10,"Direction",0.400222888929068,4,360,0.808473646281709,0.050145,0.23852,"ns"
11,"Direction",0.577129271645526,4,360,0.679399043563396,-4.8953e-17,0.19987,"ns"
12,"Direction",0.74581556649893,4,360,0.56131143528423,-0.035595,0.13683,"ns"
13,"Direction",1.04405777385253,4,360,0.38430453378705,-0.058411,0.078036,"ns"
14,"Direction",0.0809875714320737,4,360,0.988164225418132,0.044058,0.32872,"ns"
15,"Direction",1.01842149817399,4,360,0.397675286107125,-6.9342e-17,0.28311,"ns"
16,"Direction",1.35952144004609,4,360,0.247539848419955,-6.0391e-17,0.24656,"ns"
17,"Direction",0.922045582082895,4,360,0.451101719000388,-8.7824e-17,0.35857,"ns"
18,"Direction",0.549657217154182,4,360,0.699391891196964,-0.050145,0.23852,"ns"
19,"Direction",0.454614773811453,4,360,0.769020674533812,-0.073707,0.18359,"ns"
20,"Direction",0.683855738950789,4,360,0.603515705193783,-0.097709,0.1308,"ns"
21,"Direction",0.496528232997651,4,360,0.738307162549477,-0.044058,0.32872,"ns"
22,"Direction",0.499719691403958,4,360,0.735965492112326,-0.083862,0.27643,"ns"
23,"Direction",0.566244117820405,4,360,0.687305140796725,-0.11004,0.2174,"ns"
24,"Direction",0.383532767307374,4,360,0.820403341416573,-0.12335,0.16655,"ns"
25,"Direction",1.20641346441234,4,360,0.307692892741087,-0.15945,0.30209,"ns"
26,"Direction",0.904169676947795,4,360,0.461557756828344,-0.18883,0.2394,"ns"
27,"Direction",0.493837078998968,4,360,0.740281731615919,-0.1756,0.16852,"ns"
28,"Direction",0.449909015158987,4,360,0.772458501040435,-0.15612,0.11703,"ns"
29,"Direction",0.134595030482944,4,360,0.969546550179058,-0.12367,0.07006,"ns"
30,"Direction",1.98523983227449,4,360,0.0962124620933317,-0.089234,0.023191,"ns"
31,"Direction",0.64663594379921,4,360,0.629581782362219,-0.044495,-0.015575,"ns"
32,"Direction",1.28842459482916,4,360,0.274085233960517,-0.27061,0.25813,"ns"
33,"Direction",0.297416877672398,4,360,0.879578202517287,-0.27006,0.17418,"ns"
34,"Direction",0.66237671824128,4,360,0.618498635398498,-0.22865,0.099464,"ns"
35,"Direction",0.845511018471489,4,360,0.497045910716348,-0.1832,0.042556,"ns"
36,"Direction",0.64958083271548,4,360,0.627501955120957,-0.14086,0.0073253,"ns"
37,"Direction",1.16153585849729,4,360,0.327500294901187,-0.091723,-0.035635,"ns"
38,"Direction",1.10838382471156,4,360,0.352300601262771,-0.34659,0.19108,"ns"
39,"Direction",1.9802698814478,4,360,0.0969634928086833,-0.33383,0.039461,"ns"
40,"Direction",1.18893918082617,4,360,0.315283887290792,-0.25598,0.0011134,"ns"
41,"Direction",0.419826222342139,4,360,0.794339038866382,-0.19461,-0.022574,"ns"
42,"Direction",1.14527777558393,4,360,0.334930290502704,-0.15112,-0.059346,"ns"
43,"Direction",0.818369904009894,4,360,0.514063127021846,-0.41311,0.15319,"ns"
44,"Direction",0.892483434668496,4,360,0.468484662119009,-0.39898,0.074566,"ns"
45,"Direction",2.02744053264315,4,360,0.0900527741740289,-0.31837,-0.081339,"ns"
46,"Direction",0.29336671459792,4,360,0.882228740848084,-0.24052,-0.075603,"ns"
47,"Direction",1.48070702102235,4,360,0.207444842285943,-0.19145,-0.085584,"ns"
48,"Direction",1.24638270715392,4,360,0.290903084801304,-0.45895,0.17222,"ns"
49,"Direction",0.597055147130251,4,360,0.664989959269849,-0.46317,0.03064,"ns"
50,"Direction",1.80097085919426,4,360,0.128045127874972,-0.27341,-0.16219,"ns"
51,"Direction",0.999668133979072,4,360,0.4076799740717,-0.20096,-0.14301,"ns"
52,"Direction",1.76343168099518,4,360,0.135631723264119,-0.15394,-0.11866,"ns"
53,"Direction",0.707692966664648,4,360,0.587092209862128,-0.099452,-0.09574,"ns"
54,"Direction",2.20572578301938,4,360,0.0679191465102921,-0.050987,-0.076676,"ns"
55,"Direction",0.323412968520833,4,360,0.862237842810312,5.8045e-18,-0.047397,"ns"
56,"Direction",2.14763426214775,4,360,0.0744897526312561,-0.41976,-0.1671,"ns"
57,"Direction",0.118196482991768,4,360,0.976002207177197,-0.33631,-0.19112,"ns"
58,"Direction",0.656772564118384,4,360,0.622434919279677,-0.22492,-0.21452,"ns"
59,"Direction",1.17505295753121,4,360,0.321426453346362,-0.15297,-0.18922,"ns"
60,"Direction",1.80833482303281,4,360,0.126603889712128,-0.10478,-0.15427,"ns"
61,"Direction",1.9645574978669,4,360,0.0993743483061379,-0.054807,-0.12811,"ns"
62,"Direction",1.5948527924814,4,360,0.175084307077167,1.1987e-17,-0.097882,"ns"
63,"Direction",0.822909503180182,4,360,0.511191135187387,-0.349,-0.28153,"ns"
64,"Direction",0.891599677676459,4,360,0.469011424194001,-0.25813,-0.2804,"ns"
65,"Direction",0.544823037105263,4,360,0.702922198782893,-0.16624,-0.26054,"ns"
66,"Direction",0.320116106010999,4,360,0.864466385139293,-0.10296,-0.21873,"ns"
67,"Direction",0.741842389315671,4,360,0.56396910566233,-0.04676,-0.18643,"ns"
68,"Direction",0.357588728052191,4,360,0.838705706847438,-0.22108,-0.37388,"ns"
69,"Direction",0.720622713809176,4,360,0.578279307371074,-0.1585,-0.34149,"ns"
70,"Direction",0.412680318141639,4,360,0.799504965986644,-0.093018,-0.29235,"ns"
71,"Direction",0.973932548128805,4,360,0.421717748636993,-0.039316,-0.23611,"ns"
72,"Direction",0.117225807091325,4,360,0.976364488790297,2.5091e-17,-0.20489,"ns"
73,"Direction",0.921683085793154,4,360,0.451312066272967,-0.10679,-0.41491,"ns"
74,"Direction",1.97292082383,4,360,0.0980841689454043,-0.049033,-0.36828,"ns"
75,"Direction",0.264076161434745,4,360,0.900926810636353,3.6897e-17,-0.30129,"ns"
76,"Direction",0.575755363729995,4,360,0.680395685457152,0.039316,-0.23611,"ns"
77,"Direction",1.01828854180366,4,360,0.397745550674335,0.04676,-0.18643,"ns"
