"Chan","Cond","Fvals","FdfNum","FdfDen","Pvals","xpos","ypos","Pvals_cuts"
1,"Direction",5.00239014354632,4,360,0.000619032314172459,0.27061,0.25813,"<.001"
2,"Direction",3.94089967486266,4,360,0.0038179265192221,0.18883,0.2394,"<.005"
3,"Direction",3.74561164217172,4,360,0.00531944680315543,0.11004,0.2174,"<.01"
4,"Direction",2.89440577587064,4,360,0.0221630696468049,0.073707,0.18359,"<.05"
5,"Direction",3.12611151857526,4,360,0.0150835822793406,0.035595,0.13683,"<.05"
6,"Direction",4.47335075603544,4,360,0.00153727412495428,-2.187e-17,0.089291,"<.005"
7,"Direction",3.45224622627591,4,360,0.00873226368004213,-0.028292,0.036037,"<.01"
8,"Direction",3.35922757238896,4,360,0.0102107458376221,0.15945,0.30209,"<.05"
9,"Direction",5.15104985047508,4,360,0.000479058199373792,0.083862,0.27643,"<.0005"
10,"Direction",3.82774333185886,4,360,0.00462758483020232,0.050145,0.23852,"<.005"
11,"Direction",1.53418588467951,4,360,0.191667832662797,-4.8953e-17,0.19987,"ns"
12,"Direction",4.74641030970256,4,360,0.00096184122271099,-0.035595,0.13683,"<.001"
13,"Direction",2.66079070128913,4,360,0.0325514211324052,-0.058411,0.078036,"<.05"
14,"Direction",2.9727607102624,4,360,0.0194658310336204,0.044058,0.32872,"<.05"
15,"Direction",3.30460497261477,4,360,0.011190955967034,-6.9342e-17,0.28311,"<.05"
16,"Direction",1.41805717075418,4,360,0.227392521166343,-6.0391e-17,0.24656,"ns"
17,"Direction",8.02235208430302,4,360,3.32584761113575e-06,-8.7824e-17,0.35857,"<.0001"
18,"Direction",7.5306946388363,4,360,7.78673731016023e-06,-0.050145,0.23852,"<.0001"
19,"Direction",1.55586189373075,4,360,0.185586397182213,-0.073707,0.18359,"ns"
20,"Direction",3.7533387154825,4,360,0.00525022204473282,-0.097709,0.1308,"<.01"
21,"Direction",3.49224288559991,4,360,0.00816332106900874,-0.044058,0.32872,"<.01"
22,"Direction",4.6678823374353,4,360,0.00110085165890135,-0.083862,0.27643,"<.005"
23,"Direction",12.1643857294068,4,360,2.75806865582508e-09,-0.11004,0.2174,"<.0001"
24,"Direction",2.88291937207414,4,360,0.0225879595901319,-0.12335,0.16655,"<.05"
25,"Direction",4.85002063745421,4,360,0.000804797559196089,-0.15945,0.30209,"<.001"
26,"Direction",3.27253843438654,4,360,0.0118088791981778,-0.18883,0.2394,"<.05"
27,"Direction",16.3920132503215,4,360,2.39004872261626e-12,-0.1756,0.16852,"<.0001"
28,"Direction",5.90200904750743,4,360,0.000130811060023296,-0.15612,0.11703,"<.0005"
29,"Direction",4.5749225052644,4,360,0.00129142233235457,-0.12367,0.07006,"<.005"
30,"Direction",4.75245219591574,4,360,0.00095189918267262,-0.089234,0.023191,"<.001"
31,"Direction",3.27828222420155,4,360,0.0116957840460719,-0.044495,-0.015575,"<.05"
32,"Direction",3.42895279282123,4,360,0.00908141573387449,-0.27061,0.25813,"<.01"
33,"Direction",3.19476842398797,4,360,0.0134500873915949,-0.27006,0.17418,"<.05"
34,"Direction",5.9433976491855,4,360,0.000121766253713404,-0.22865,0.099464,"<.0005"
35,"Direction",3.34469112414472,4,360,0.0104630383318688,-0.1832,0.042556,"<.05"
36,"Direction",4.0847371931944,4,360,0.0029882166870242,-0.14086,0.0073253,"<.005"
37,"Direction",3.36390652919116,4,360,0.0101308186540753,-0.091723,-0.035635,"<.05"
38,"Direction",3.02049261204352,4,360,0.0179829048927002,-0.34659,0.19108,"<.05"
39,"Direction",4.60641050802413,4,360,0.00122345700672381,-0.33383,0.039461,"<.005"
40,"Direction",5.75614397527499,4,360,0.000168376595090361,-0.25598,0.0011134,"<.0005"
41,"Direction",1.49368687839744,4,360,0.203512361272746,-0.19461,-0.022574,"ns"
42,"Direction",4.37149808931012,4,360,0.00183042843424067,-0.15112,-0.059346,"<.005"
43,"Direction",3.33051497462032,4,360,0.0107149778105082,-0.41311,0.15319,"<.05"
44,"Direction",3.47024643375258,4,360,0.00847153839436419,-0.39898,0.074566,"<.01"
45,"Direction",14.9760498728024,4,360,2.4750377491259e-11,-0.31837,-0.081339,"<.0001"
46,"Direction",3.38999205124098,4,360,0.00969637073321304,-0.24052,-0.075603,"<.01"
47,"Direction",3.74740776746297,4,360,0.00530327580290108,-0.19145,-0.085584,"<.01"
48,"Direction",3.91871323542656,4,360,0.0039647726792495,-0.45895,0.17222,"<.005"
49,"Direction",1.69671414516316,4,360,0.150149656122662,-0.46317,0.03064,"ns"
50,"Direction",2.3323721203177,4,360,0.055460532787295,-0.27341,-0.16219,"ns"
51,"Direction",5.88597827182405,4,360,0.000134491883204492,-0.20096,-0.14301,"<.0005"
