iSess	iCond	iTrial	iCh	iFr	AF	xF1	xF2	Harm	FK_Cond	iBin	SweepVal	Sr	Si	N1r	N1i	N2r	N2i	Signal	Phase	Noise	StdErr	PVal	SNR	LSB	RSB	UserSc	Thresh	ThrBin	Slope	ThrInRange	MaxSNR
20151207_184652	1	0	hc001-Avg	1	1.200000	1	0	1F1	1	0		-1.970063	-0.500564	-0.285148	-0.816527	-0.285148	-0.816527	2.032661	-165.743677	0.864885	1.341267	0.349685	1.205248								
20151207_184652	1	0	hc001-Avg	2	2.400000	2	0	2F1	1	0		-0.285148	-0.816527	-1.970063	-0.500564	1.220531	0.029676	0.864885	-109.250265	1.626777	0.751766	0.533779	0.405576								
20151207_184652	1	0	hc001-Avg	3	3.600000	3	0	3F1	1	0		1.220531	0.029676	-0.285148	-0.816527	-0.094563	0.290712	1.220892	1.392827	0.585295	0.632822	0.197706	0.826195								
20151207_184652	1	0	hc001-Avg	4	4.800000	4	0	4F1	1	0		-0.094563	0.290712	1.220531	0.029676	0.192292	-0.298628	0.305705	108.018721	0.788037	0.478628	0.818251	0.319213								
20151207_184652	1	0	hc001-Avg	5	6.000000	5	0	5F1	1	0		0.192292	-0.298628	-0.094563	0.290712	0.321027	-0.257219	0.355183	-57.221716	0.358534	0.355121	0.618526	0.348745								
20151207_184652	1	0	hc001-Avg	6	7.200000	6	0	6F1	1	0		0.321027	-0.257219	0.192292	-0.298628	0.305030	-0.259329	0.411364	-38.703047	0.377776	0.343823	0.508566	0.668745								
20151207_184652	1	0	hc001-Avg	7	8.400000	7	0	7F1	1	0		0.305030	-0.259329	0.321027	-0.257219	0.051243	0.132878	0.400369	-40.370297	0.276890	0.197932	0.171988	0.659453								
20151207_184652	1	0	hc001-Avg	8	9.600000	8	0	8F1	1	0		0.051243	0.132878	0.305030	-0.259329	-0.125962	-0.006719	0.142416	68.911511	0.263255	0.153537	0.660028	0.254973								
20151207_184652	1	0	hc001-Avg	9	10.800000	9	0	9F1	1	0		-0.125962	-0.006719	0.051243	0.132878	0.130274	-0.025307	0.126141	-176.946837	0.137563	0.218305	0.848185	0.332147								
20151207_184652	1	0	hc001-Avg	10	36.000000	0	1	1F2	1	0		-0.077938	-0.044988	0.005628	-0.043093	-0.006150	-0.096693	0.089990	-150.005256	0.070174	0.034720	0.069435	0.728803								
20151207_184652	1	0	hc001-Avg	11	37.200000	1	1	1F1+1F2	1	0		-0.006150	-0.096693	-0.077938	-0.044988	0.074247	-0.084833	0.096889	-93.639180	0.101362	0.035518	0.055303	0.760683								
20151207_184652	1	0	hc001-Avg	12	34.800000	1	-1	1F1-1F2	1	0		0.005628	-0.043093	0.054323	0.058551	-0.077938	-0.044988	0.043459	-82.559298	0.084930	0.037785	0.533946	0.333672								
20151207_184652	1	0	hc002-Avg	1	1.200000	1	0	1F1	1	0		-2.341197	-2.819088	-0.139017	-0.418817	-0.139017	-0.418817	3.664486	-129.708967	0.441286	1.557323	0.102652	2.102641								
20151207_184652	1	0	hc002-Avg	2	2.400000	2	0	2F1	1	0		-0.139017	-0.418817	-2.341197	-2.819088	0.162960	0.799008	0.441286	-108.362455	2.239972	0.985422	0.905344	0.164594								
20151207_184652	1	0	hc002-Avg	3	3.600000	3	0	3F1	1	0		0.162960	0.799008	-0.139017	-0.418817	-0.140182	0.755925	0.815457	78.472463	0.605049	0.532003	0.342034	0.523909								
20151207_184652	1	0	hc002-Avg	4	4.800000	4	0	4F1	1	0		-0.140182	0.755925	0.162960	0.799008	0.083972	-0.166395	0.768813	100.505869	0.500920	0.418710	0.226361	0.855314								
20151207_184652	1	0	hc002-Avg	5	6.000000	5	0	5F1	1	0		0.083972	-0.166395	-0.140182	0.755925	-0.041515	-0.238906	0.186383	-63.221806	0.505650	0.361863	0.877042	0.164663								
20151207_184652	1	0	hc002-Avg	6	7.200000	6	0	6F1	1	0		-0.041515	-0.238906	0.083972	-0.166395	0.141118	-0.261577	0.242486	-99.857888	0.241799	0.338779	0.778145	0.374185								
20151207_184652	1	0	hc002-Avg	7	8.400000	7	0	7F1	1	0		0.141118	-0.261577	-0.041515	-0.238906	-0.337681	0.440091	0.297215	-61.653563	0.398601	0.300489	0.624850	0.384774								
20151207_184652	1	0	hc002-Avg	8	9.600000	8	0	8F1	1	0		-0.337681	0.440091	0.141118	-0.261577	0.200473	0.065071	0.554715	127.498994	0.253992	0.208466	0.061878	0.939882								
20151207_184652	1	0	hc002-Avg	9	10.800000	9	0	9F1	1	0		0.200473	0.065071	-0.337681	0.440091	0.199786	0.114928	0.210770	17.982804	0.392599	0.207700	0.610192	0.363252								
20151207_184652	1	0	hc002-Avg	10	36.000000	0	1	1F2	1	0		-0.032377	-0.019132	-0.047875	-0.024339	-0.009279	-0.044741	0.037607	-149.420643	0.049700	0.085564	0.908629	0.245751								
20151207_184652	1	0	hc002-Avg	11	37.200000	1	1	1F1+1F2	1	0		-0.009279	-0.044741	-0.032377	-0.019132	-0.080838	-0.046913	0.045693	-101.716712	0.065536	0.081718	0.856991	0.225257								
20151207_184652	1	0	hc002-Avg	12	34.800000	1	-1	1F1-1F2	1	0		-0.047875	-0.024339	0.111920	-0.048016	-0.032377	-0.019132	0.053707	-153.051283	0.079696	0.080828	0.805099	0.252505								
20151207_184652	1	0	hc003-Avg	1	1.200000	1	0	1F1	1	0		-0.718429	-1.863052	-0.057539	-0.904108	-0.057539	-0.904108	1.996773	-111.087603	0.905937	1.232124	0.304983	1.368073								
20151207_184652	1	0	hc003-Avg	2	2.400000	2	0	2F1	1	0		-0.057539	-0.904108	-0.718429	-1.863052	0.511317	0.401919	0.905937	-93.641460	1.323573	0.725627	0.480590	0.447040								
20151207_184652	1	0	hc003-Avg	3	3.600000	3	0	3F1	1	0		0.511317	0.401919	-0.057539	-0.904108	-0.286116	0.805686	0.650372	38.169023	0.880459	0.248209	0.066228	0.449125								
20151207_184652	1	0	hc003-Avg	4	4.800000	4	0	4F1	1	0		-0.286116	0.805686	0.511317	0.401919	-0.216757	-0.518955	0.854981	109.551008	0.606388	0.471341	0.233658	0.697311								
20151207_184652	1	0	hc003-Avg	5	6.000000	5	0	5F1	1	0		-0.216757	-0.518955	-0.286116	0.805686	0.507454	-0.143122	0.562404	-112.669339	0.691116	0.319564	0.252171	0.476855								
20151207_184652	1	0	hc003-Avg	6	7.200000	6	0	6F1	1	0		0.507454	-0.143122	-0.216757	-0.518955	-0.029256	-0.309118	0.527251	-15.750509	0.436451	0.368655	0.388928	0.499909								
20151207_184652	1	0	hc003-Avg	7	8.400000	7	0	7F1	1	0		-0.029256	-0.309118	0.507454	-0.143122	-0.307131	0.561585	0.310499	-95.406638	0.583667	0.288521	0.575332	0.361961								
20151207_184652	1	0	hc003-Avg	8	9.600000	8	0	8F1	1	0		-0.307131	0.561585	-0.029256	-0.309118	0.150223	0.101744	0.640083	118.674239	0.245967	0.220415	0.041027	0.858347								
20151207_184652	1	0	hc003-Avg	9	10.800000	9	0	9F1	1	0		0.150223	0.101744	-0.307131	0.561585	0.098235	0.045992	0.181435	34.109363	0.374276	0.164160	0.558976	0.329292								
20151207_184652	1	0	hc003-Avg	10	36.000000	0	1	1F2	1	0		-0.045294	-0.049225	0.054537	-0.067777	0.035277	0.031461	0.066893	-132.618860	0.067131	0.083092	0.729349	0.303288								
20151207_184652	1	0	hc003-Avg	11	37.200000	1	1	1F1+1F2	1	0		0.035277	0.031461	-0.045294	-0.049225	-0.009040	-0.008105	0.047268	41.728077	0.039517	0.086247	0.862146	0.322238								
20151207_184652	1	0	hc003-Avg	12	34.800000	1	-1	1F1-1F2	1	0		0.054537	-0.067777	0.058191	0.041235	-0.045294	-0.049225	0.086994	-51.178117	0.069106	0.098801	0.686852	0.612956								
20151207_184652	1	0	hc004-Avg	1	1.200000	1	0	1F1	1	0		-0.401053	-1.749858	-0.228269	-0.694416	-0.228269	-0.694416	1.795229	-102.908774	0.730972	1.023864	0.254480	1.252266								
20151207_184652	1	0	hc004-Avg	2	2.400000	2	0	2F1	1	0		-0.228269	-0.694416	-0.401053	-1.749858	0.218796	0.303839	0.730972	-108.196784	1.084824	0.647279	0.545529	0.421560								
20151207_184652	1	0	hc004-Avg	3	3.600000	3	0	3F1	1	0		0.218796	0.303839	-0.228269	-0.694416	-0.149843	0.671381	0.374420	54.242167	0.709436	0.224731	0.286930	0.273226								
20151207_184652	1	0	hc004-Avg	4	4.800000	4	0	4F1	1	0		-0.149843	0.671381	0.218796	0.303839	-0.092184	-0.354577	0.687899	102.581393	0.370392	0.423725	0.303824	0.671950								
20151207_184652	1	0	hc004-Avg	5	6.000000	5	0	5F1	1	0		-0.092184	-0.354577	-0.149843	0.671381	0.426315	-0.139784	0.366364	-104.573242	0.568273	0.307894	0.512124	0.350094								
20151207_184652	1	0	hc004-Avg	6	7.200000	6	0	6F1	1	0		0.426315	-0.139784	-0.092184	-0.354577	-0.082735	-0.281841	0.448647	-18.153758	0.330049	0.347117	0.457481	0.474878								
20151207_184652	1	0	hc004-Avg	7	8.400000	7	0	7F1	1	0		-0.082735	-0.281841	0.426315	-0.139784	-0.176242	0.547526	0.293733	-106.359669	0.511919	0.274276	0.578288	0.388185								
20151207_184652	1	0	hc004-Avg	8	9.600000	8	0	8F1	1	0		-0.176242	0.547526	-0.082735	-0.281841	0.094520	0.065372	0.575192	107.842734	0.204329	0.209243	0.053374	0.868522								
20151207_184652	1	0	hc004-Avg	9	10.800000	9	0	9F1	1	0		0.094520	0.065372	-0.176242	0.547526	0.078973	0.047564	0.114924	34.668639	0.333691	0.171697	0.802575	0.226166								
20151207_184652	1	0	hc004-Avg	10	36.000000	0	1	1F2	1	0		0.007092	0.035685	0.007911	0.006621	-0.017010	0.016306	0.036383	78.759901	0.016940	0.037241	0.631789	0.381412								
20151207_184652	1	0	hc004-Avg	11	37.200000	1	1	1F1+1F2	1	0		-0.017010	0.016306	0.007092	0.035685	0.008765	0.041044	0.023563	136.210241	0.039176	0.036184	0.811906	0.268446								
20151207_184652	1	0	hc004-Avg	12	34.800000	1	-1	1F1-1F2	1	0		0.007911	0.006621	0.014101	-0.007031	0.007092	0.035685	0.010316	39.923526	0.026070	0.038578	0.964980	0.113798								
20151207_184652	1	0	hc005-Avg	1	1.200000	1	0	1F1	1	0		0.148706	-1.351938	-0.044629	-0.209811	-0.044629	-0.209811	1.360091	-83.722991	0.214505	0.972186	0.403920	0.882002								
