iSess	iCond	iTrial	iCh	iFr	AF	xF1	xF2	Harm	FK_Cond	iBin	SweepVal	Sr	Si	N1r	N1i	N2r	N2i	Signal	Phase	Noise	StdErr	PVal	SNR	LSB	RSB	UserSc	Thresh	ThrBin	Slope	ThrInRange	MaxSNR
20151030_092505	1	0	hc001-Avg	1	1.200000	1	0	1F1	1	0		-0.055002	0.719425	0.748372	-0.664435	0.748372	-0.664435	0.721524	94.371928	1.000767	0.902746	0.732573	0.621284								
20151030_092505	1	0	hc001-Avg	2	2.400000	2	0	2F1	1	0		0.748372	-0.664435	-0.055002	0.719425	0.107339	-0.178037	1.000767	-41.599962	0.464708	0.404834	0.084612	0.765511								
20151030_092505	1	0	hc001-Avg	3	3.600000	3	0	3F1	1	0		0.107339	-0.178037	0.748372	-0.664435	-0.770490	0.493695	0.207891	-58.914152	0.957929	0.322201	0.814951	0.176281								
20151030_092505	1	0	hc001-Avg	4	4.800000	4	0	4F1	1	0		-0.770490	0.493695	0.107339	-0.178037	0.166634	0.020456	0.915090	147.350080	0.187888	0.390502	0.104266	1.073359								
20151030_092505	1	0	hc001-Avg	5	6.000000	5	0	5F1	1	0		0.166634	0.020456	-0.770490	0.493695	-0.112119	-0.283262	0.167885	6.998588	0.609867	0.382440	0.908838	0.209807								
20151030_092505	1	0	hc001-Avg	6	7.200000	6	0	6F1	1	0		-0.112119	-0.283262	0.166634	0.020456	-0.148690	0.026251	0.304644	-111.594348	0.159437	0.228746	0.437306	0.380415								
20151030_092505	1	0	hc001-Avg	7	8.400000	7	0	7F1	1	0		-0.148690	0.026251	-0.112119	-0.283262	-0.146988	0.014656	0.150989	169.987608	0.226181	0.199219	0.755369	0.350327								
20151030_092505	1	0	hc001-Avg	8	9.600000	8	0	8F1	1	0		-0.146988	0.014656	-0.148690	0.026251	-0.012833	0.093428	0.147717	174.305932	0.122647	0.163677	0.674340	0.316063								
20151030_092505	1	0	hc001-Avg	9	10.800000	9	0	9F1	1	0		-0.012833	0.093428	-0.146988	0.014656	0.021378	0.010341	0.094305	97.821333	0.085732	0.094058	0.617126	0.274919								
20151030_092505	1	0	hc001-Avg	10	36.000000	0	1	1F2	1	0		0.041418	-0.001048	0.013015	-0.057427	0.033075	0.032878	0.041431	-1.449375	0.052760	0.031846	0.453093	0.515705								
20151030_092505	1	0	hc001-Avg	11	37.200000	1	1	1F1+1F2	1	0		0.033075	0.032878	0.041418	-0.001048	0.004049	0.003477	0.046636	44.829282	0.023384	0.032222	0.380838	0.732127								
20151030_092505	1	0	hc001-Avg	12	34.800000	1	-1	1F1-1F2	1	0		0.013015	-0.057427	-0.053079	0.000101	0.041418	-0.001048	0.058883	-77.230094	0.047255	0.034287	0.267515	0.835271								
20151030_092505	1	0	hc002-Avg	1	1.200000	1	0	1F1	1	0		0.897345	-0.252493	0.931732	-1.703855	0.931732	-1.703855	0.932191	-15.715446	1.941969	0.737678	0.472551	0.439837								
20151030_092505	1	0	hc002-Avg	2	2.400000	2	0	2F1	1	0		0.931732	-1.703855	0.897345	-0.252493	-0.017352	-0.400554	1.941969	-61.328507	0.666560	0.394072	0.001308	1.315975								
20151030_092505	1	0	hc002-Avg	3	3.600000	3	0	3F1	1	0		-0.017352	-0.400554	0.931732	-1.703855	-0.538887	0.339209	0.400930	-92.480556	1.289364	0.344568	0.526549	0.267218								
20151030_092505	1	0	hc002-Avg	4	4.800000	4	0	4F1	1	0		-0.538887	0.339209	-0.017352	-0.400554	-0.162184	0.169586	0.636759	147.811143	0.317792	0.316726	0.175210	0.802703								
20151030_092505	1	0	hc002-Avg	5	6.000000	5	0	5F1	1	0		-0.162184	0.169586	-0.538887	0.339209	0.067154	-0.487318	0.234655	133.721952	0.564341	0.346635	0.798625	0.290839								
20151030_092505	1	0	hc002-Avg	6	7.200000	6	0	6F1	1	0		0.067154	-0.487318	-0.162184	0.169586	0.043996	0.073231	0.491923	-82.153870	0.160043	0.335618	0.372266	0.708915								
20151030_092505	1	0	hc002-Avg	7	8.400000	7	0	7F1	1	0		0.043996	0.073231	0.067154	-0.487318	-0.182174	-0.115716	0.085431	59.003393	0.353871	0.264160	0.949263	0.121882								
20151030_092505	1	0	hc002-Avg	8	9.600000	8	0	8F1	1	0		-0.182174	-0.115716	0.043996	0.073231	0.318274	-0.228481	0.215818	-147.576511	0.238612	0.290558	0.763607	0.336821								
20151030_092505	1	0	hc002-Avg	9	10.800000	9	0	9F1	1	0		0.318274	-0.228481	-0.182174	-0.115716	-0.074245	0.016553	0.391794	-35.673666	0.145943	0.195987	0.178225	0.788260								
20151030_092505	1	0	hc002-Avg	10	36.000000	0	1	1F2	1	0		-0.008654	0.004491	0.008701	-0.050501	-0.035149	0.015032	0.009750	152.570815	0.044737	0.044957	0.976801	0.101956								
20151030_092505	1	0	hc002-Avg	11	37.200000	1	1	1F1+1F2	1	0		-0.035149	0.015032	-0.008654	0.004491	-0.027315	-0.002394	0.038229	156.845300	0.018585	0.031216	0.493309	0.481332								
20151030_092505	1	0	hc002-Avg	12	34.800000	1	-1	1F1-1F2	1	0		0.008701	-0.050501	-0.082884	-0.031681	-0.008654	0.004491	0.051245	-80.223972	0.049241	0.043314	0.515845	0.508288								
20151030_092505	1	0	hc003-Avg	1	1.200000	1	0	1F1	1	0		0.656560	-0.041469	0.745314	-1.606425	0.745314	-1.606425	0.657868	-3.614099	1.770902	0.805175	0.722649	0.322033								
20151030_092505	1	0	hc003-Avg	2	2.400000	2	0	2F1	1	0		0.745314	-1.606425	0.656560	-0.041469	0.053441	-0.202126	1.770902	-65.110679	0.433470	0.396466	0.002806	1.204512								
20151030_092505	1	0	hc003-Avg	3	3.600000	3	0	3F1	1	0		0.053441	-0.202126	0.745314	-1.606425	-0.425014	0.152858	0.209071	-75.190050	1.111284	0.368086	0.852844	0.152174								
20151030_092505	1	0	hc003-Avg	4	4.800000	4	0	4F1	1	0		-0.425014	0.152858	0.053441	-0.202126	-0.031434	0.099106	0.451666	160.218736	0.156521	0.291097	0.333858	0.541636								
20151030_092505	1	0	hc003-Avg	5	6.000000	5	0	5F1	1	0		-0.031434	0.099106	-0.425014	0.152858	0.074138	-0.530957	0.103971	107.597934	0.493887	0.414623	0.969128	0.135466								
20151030_092505	1	0	hc003-Avg	6	7.200000	6	0	6F1	1	0		0.074138	-0.530957	-0.031434	0.099106	0.235045	-0.032324	0.536107	-82.051149	0.170614	0.357736	0.357240	0.664185								
20151030_092505	1	0	hc003-Avg	7	8.400000	7	0	7F1	1	0		0.235045	-0.032324	0.074138	-0.530957	-0.235150	0.056446	0.237257	-7.830243	0.388969	0.267597	0.683376	0.331064								
